ICacheEventId,CoreId,CoreTypeId,EventTimeTick,SourceInstrAddr,EventSize,HitStatus,ICacheEventType
1973,0,2,7509,624191671760,16,1,1
1974,0,3,7509,624191671452,4,1,1
1975,0,3,7510,624191671456,16,1,1
1976,0,3,7511,624191671472,16,1,1
1977,0,3,7512,624191671488,16,1,1
1978,0,3,7518,624191671460,12,1,1
1979,0,3,7519,624191671472,16,1,1
1980,0,2,7520,624191671732,12,1,1
1981,0,3,7520,624191671488,16,1,1
1982,0,2,7521,624191671744,16,1,1
1983,0,3,7521,624191671504,16,1,1
1984,0,2,7522,624191671760,16,1,1
1985,0,2,7523,624191671776,16,1,1
1986,0,2,7534,624191671792,16,1,1
1987,0,2,7535,624191671808,16,1,1
1988,0,3,7535,624191671520,16,1,1
1989,0,2,7536,624191671824,16,1,1
1990,0,3,7536,624191671536,16,1,1
1991,0,2,7537,624191671840,16,1,1
1992,0,3,7537,624191671552,16,1,1
1993,0,2,7538,624191671856,16,1,1
1994,0,3,7546,624191671568,16,1,1
1995,0,3,7547,624191671584,16,1,1
1996,0,3,7548,624191671600,16,1,1
1997,0,2,7549,624191671772,4,1,1
1998,0,2,7550,624191671776,16,1,1
1999,0,2,7551,624191671792,16,1,1
2000,0,2,7552,624191671808,16,1,1
2001,0,2,7553,624191671824,16,1,1
2002,0,2,7554,624191671840,16,1,1
2003,0,2,7555,624191671856,16,1,1
2004,0,2,7556,624191671872,16,1,1
2005,0,3,7556,624191671500,4,1,1
2006,0,2,7557,624191671888,16,1,1
2007,0,3,7557,624191671504,16,1,1
2008,0,2,7558,624191671904,16,1,1
2009,0,3,7558,624191671520,16,1,1
2010,0,2,7559,624191671920,16,1,1
2011,0,3,7559,624191671536,16,1,1
2012,0,2,7560,624191671936,16,1,1
2013,0,3,7560,624191671552,16,1,1
2014,0,2,7561,624191671952,16,1,1
2015,0,3,7561,624191671568,16,1,1
2016,0,2,7562,624191671968,16,1,1
2017,0,3,7562,624191671584,16,1,1
2018,0,2,7563,624191671984,16,1,1
2019,0,3,7563,624191671600,16,1,1
2020,0,3,7564,624191671616,16,1,1
2021,0,3,7565,624191671632,16,1,1
2022,0,3,7566,624191671648,16,1,1
2023,0,3,7567,624191671664,16,1,1
2024,0,3,7568,624191671680,16,1,1
2025,0,3,7569,624191671696,16,1,1
2026,0,2,7571,624191672000,16,1,1
2027,0,2,7572,624191672016,16,1,1
2028,0,2,7573,624191672032,16,1,1
2029,0,2,7574,624191672048,16,1,1
2030,0,3,7577,624191671712,16,1,1
2031,0,3,7578,624191671728,16,1,1
2032,0,3,7579,624191671744,16,1,1
2033,0,3,7580,624191671760,16,1,1
2034,0,2,7585,624191671452,4,1,1
2035,0,2,7586,624191671456,16,1,1
2036,0,2,7587,624191671472,16,1,1
2037,0,2,7588,624191671488,16,1,1
2038,0,3,7591,624191671732,12,1,1
