CoreId,CoreTypeId,VfId,MetricId,MetricName,MetricDelta
0,2,12,15,c_cycle_vloop_bmode_flush,0
0,2,13,15,c_cycle_vloop_bmode_flush,0
0,2,14,15,c_cycle_vloop_bmode_flush,0
0,2,15,15,c_cycle_vloop_bmode_flush,0
0,2,16,15,c_cycle_vloop_bmode_flush,0
0,2,17,15,c_cycle_vloop_bmode_flush,0
0,2,18,15,c_cycle_vloop_bmode_flush,0
0,2,3,16,c_cycle_vloop_fetch_flush,6
0,2,4,16,c_cycle_vloop_fetch_flush,343
0,2,5,16,c_cycle_vloop_fetch_flush,12
0,2,6,16,c_cycle_vloop_fetch_flush,6
0,2,7,16,c_cycle_vloop_fetch_flush,6
0,2,8,16,c_cycle_vloop_fetch_flush,0
0,2,9,16,c_cycle_vloop_fetch_flush,12
0,2,10,16,c_cycle_vloop_fetch_flush,6
0,2,11,16,c_cycle_vloop_fetch_flush,6
0,2,12,16,c_cycle_vloop_fetch_flush,0
0,2,13,16,c_cycle_vloop_fetch_flush,12
0,2,14,16,c_cycle_vloop_fetch_flush,6
0,2,15,16,c_cycle_vloop_fetch_flush,6
0,2,16,16,c_cycle_vloop_fetch_flush,0
0,2,17,16,c_cycle_vloop_fetch_flush,12
0,2,18,16,c_cycle_vloop_fetch_flush,0
0,2,3,17,c_cycle_vloop_execution,10
0,2,4,17,c_cycle_vloop_execution,2
0,2,5,17,c_cycle_vloop_execution,12
0,2,6,17,c_cycle_vloop_execution,3
0,2,7,17,c_cycle_vloop_execution,9
0,2,8,17,c_cycle_vloop_execution,0
0,2,9,17,c_cycle_vloop_execution,12
0,2,10,17,c_cycle_vloop_execution,3
0,2,11,17,c_cycle_vloop_execution,9
0,2,12,17,c_cycle_vloop_execution,0
0,2,13,17,c_cycle_vloop_execution,12
0,2,14,17,c_cycle_vloop_execution,3
0,2,15,17,c_cycle_vloop_execution,9
0,2,16,17,c_cycle_vloop_execution,0
0,2,17,17,c_cycle_vloop_execution,12
0,2,18,17,c_cycle_vloop_execution,0
0,2,3,18,c_cycle_vloop_stall,16
0,2,4,18,c_cycle_vloop_stall,345
0,2,5,18,c_cycle_vloop_stall,24
0,2,6,18,c_cycle_vloop_stall,9
0,2,7,18,c_cycle_vloop_stall,15
0,2,8,18,c_cycle_vloop_stall,0
0,2,9,18,c_cycle_vloop_stall,24
0,2,10,18,c_cycle_vloop_stall,9
0,2,11,18,c_cycle_vloop_stall,15
0,2,12,18,c_cycle_vloop_stall,0
0,2,13,18,c_cycle_vloop_stall,24
0,2,14,18,c_cycle_vloop_stall,9
0,2,15,18,c_cycle_vloop_stall,15
0,2,16,18,c_cycle_vloop_stall,0
0,2,17,18,c_cycle_vloop_stall,24
0,2,18,18,c_cycle_vloop_stall,0
0,2,3,19,c_cycle_wait_sreg,0
0,2,4,19,c_cycle_wait_sreg,0
0,2,5,19,c_cycle_wait_sreg,0
0,2,6,19,c_cycle_wait_sreg,0
0,2,7,19,c_cycle_wait_sreg,0
0,2,8,19,c_cycle_wait_sreg,0
0,2,9,19,c_cycle_wait_sreg,0
0,2,10,19,c_cycle_wait_sreg,0
0,2,11,19,c_cycle_wait_sreg,0
0,2,12,19,c_cycle_wait_sreg,0
0,2,13,19,c_cycle_wait_sreg,0
0,2,14,19,c_cycle_wait_sreg,0
0,2,15,19,c_cycle_wait_sreg,0
0,2,16,19,c_cycle_wait_sreg,0
0,2,17,19,c_cycle_wait_sreg,0
0,2,18,19,c_cycle_wait_sreg,0
0,2,3,20,c_slot_idu_disp_total,65
0,2,4,20,c_slot_idu_disp_total,15
0,2,5,20,c_slot_idu_disp_total,65
0,2,6,20,c_slot_idu_disp_total,15
0,2,7,20,c_slot_idu_disp_total,65
0,2,8,20,c_slot_idu_disp_total,15
0,2,9,20,c_slot_idu_disp_total,65
0,2,10,20,c_slot_idu_disp_total,15
0,2,11,20,c_slot_idu_disp_total,65
0,2,12,20,c_slot_idu_disp_total,15
0,2,13,20,c_slot_idu_disp_total,65
0,2,14,20,c_slot_idu_disp_total,15
