ExecInstrId,DispatchTimeTick
61022895342182,4713
61022895342183,4714
61022895342184,4715
61022895342185,4716
61022895342186,4717
61022895342187,4718
61022895342188,4718
61022895342189,4719
61297773249167,5036
61297773249168,5036
61297773249169,5037
61297773249170,5041
61297773249171,5041
61297773249172,5042
61297773249173,5042
61297773249174,5043
61297773249175,5044
61297773249176,5045
61297773249177,5046
61297773249178,5047
61297773249179,5048
61297773249180,5048
61297773249181,5049
61297773249182,5050
61297773249183,5051
61297773249184,5051
61297773249185,5052
61297773249186,5052
61297773249187,5053
61297773249188,5053
61297773249189,5054
61297773249190,5054
61297773249191,5055
61297773249192,5055
61297773249193,5056
61297773249194,5056
61297773249195,5057
61297773249196,5057
61297773249197,5058
61297773249198,5058
61297773249199,5059
61297773249200,5059
2473901163077,5060
61297773249201,5060
61297773249202,5060
61297773249203,5061
61297773249204,5061
61297773249205,5062
61297773249206,5063
61297773249207,5064
2473901163222,5066
2473901163223,5066
2473901163227,5070
2473901163228,5073
2473901163237,5074
2473901163238,5075
2473901163239,5075
2473901163240,5078
2473901163241,5079
2473901163242,5080
2473901163243,5080
2473901163244,5081
2473901163245,5081
2473901163246,5082
2473901163247,5082
61022895342357,5084
61022895342358,5084
2473901163248,5085
2473901163249,5085
61022895342359,5085
2473901163250,5086
61022895342360,5089
61022895342365,5089
2473901163251,5090
2473901163252,5090
61022895342366,5090
61022895342367,5090
2473901163253,5091
61022895342368,5091
61022895342369,5092
61022895342370,5093
61022895342371,5094
2473901163254,5095
61022895342372,5095
61022895342373,5096
61022895342374,5096
61022895342375,5097
2473901163255,5098
61022895342376,5098
2473901163256,5099
61022895342377,5099
61022895342378,5099
2473901163257,5100
61022895342379,5100
61022895342380,5100
2473901163258,5101
2473901163259,5101
61022895342381,5101
61022895342382,5101
61022895342383,5102
61022895342384,5102
61022895342385,5103
61022895342386,5103
61022895342387,5104
61022895342388,5104
2473901163260,5105
61022895342389,5105
61022895342390,5105
61022895342391,5106
61022895342392,5106
61022895342393,5107
61022895342394,5107
61022895342395,5108
61022895342396,5108
2473901163261,5109
2473901163262,5109
61022895342401,5109
61022895342402,5109
2473901163263,5110
2473901163264,5110
61022895342403,5110
2473901163265,5111
61022895342404,5111
2473901163266,5112
61022895342408,5112
2473901163267,5113
2473901163268,5114
2473901163269,5115
2473901163270,5117
2473901163271,5120
2473901163399,5126
2473901163400,5126
2473901163401,5131
2473901163402,5135
2473901163403,5136
2473901163404,5137
2473901163405,5138
2473901163406,5139
2473901163407,5140
2473901163408,5142
2473901163409,5142
2473901163410,5143
2473901163411,5143
2473901163412,5144
2473901163413,5144
2473901163414,5145
2473901163415,5146
2473901163416,5147
2473901163417,5148
2473901163418,5150
2473901163419,5151
2473901163420,5151
2473901163421,5152
2473901163422,5152
2473901163423,5153
2473901163424,5153
2473901163425,5157
2473901163426,5160
2473901163472,5166
2473901163473,5166
2473901163474,5170
2473901163475,5173
2473901163477,5175
2473901163478,5176
2473901163479,5176
2473901163480,5179
2473901163481,5180
2473901163482,5181
2473901163483,5181
2473901163484,5182
2473901163485,5182
2473901163486,5183
2473901163487,5183
2473901163488,5186
2473901163489,5186
2473901163490,5187
2473901163491,5191
2473901163492,5191
2473901163493,5192
2473901163494,5195
2473901163495,5198
2473901163496,5199
2473901163497,5200
2473901163498,5201
2473901163499,5202
2473901163500,5203
2473901163501,5206
2473901163502,5206
2473901163503,5207
2473901163504,5207
2473901163505,5208
2473901163506,5209
2473901163507,5212
2473901163508,5213
2473901163509,5214
2473901163510,5215
2473901163511,5216
2473901163512,5217
2473901163513,5218
2473901163514,5219
2473901163515,5221
2473901163516,5222
2473901163517,5223
2473901163518,5223
2473901163519,5224
2473901163520,5227
2473901163521,5230
2473901163550,5236
2473901163551,5236
2473901163552,5241
2473901163553,5245
2473901163554,5246
2473901163555,5247
2473901163557,5248
2473901163558,5249
2473901163559,5249
2473901163560,5252
2473901163561,5252
2473901163562,5253
2473901163563,5253
2473901163564,5254
2473901163565,5255
2473901163566,5255
2473901163567,5258
2473901163568,5260
2473901163569,5261
2473901163570,5262
2473901163571,5263
2473901163572,5264
2473901163573,5268
2473901163574,5269
2473901163576,5270
2473901163577,5271
2473901163578,5272
2473901163579,5274
2473901163580,5275
2473901163581,5275
2473901163582,5276
2473901163583,5276
2473901163584,5277
2473901163585,5277
2473901163586,5281
2473901163587,5284
2473901163633,5290
2473901163634,5290
2473901163635,5294
2473901163636,5297
2473901163638,5298
2473901163639,5299
2473901163640,5299
2473901163641,5302
2473901163642,5303
2473901163643,5304
2473901163644,5304
2473901163645,5305
2473901163646,5305
2473901163647,5306
2473901163648,5306
2473901163649,5309
2473901163650,5309
2473901163651,5310
2473901163652,5314
2473901163653,5314
2473901163654,5315
2473901163655,5318
2473901163656,5321
2473901163657,5322
2473901163658,5323
2473901163659,5324
