Tick,Util,CoreId,CoreTypeId
8710,1.0,0,2
8710,1.0,0,2
8735,1.0,0,2
8864,1.0,0,2
8865,1.0,0,2
8866,1.0,0,2
8901,0.6666666666666666,0,2
8902,1.0,0,2
8903,1.0,0,2
8903,1.0,0,2
8903,1.0,0,2
8904,1.0,0,2
8904,1.0,0,2
8904,0.6666666666666666,0,2
8905,0.6666666666666666,0,2
8905,0.6666666666666666,0,2
8906,0.6666666666666666,0,2
9040,0.6666666666666666,0,2
9040,0.6666666666666666,0,2
9041,0.6666666666666666,0,2
9041,0.6666666666666666,0,2
9042,0.6666666666666666,0,2
9067,0.6666666666666666,0,2
9067,0.6666666666666666,0,2
9068,0.3333333333333333,0,2
9301,0.3333333333333333,0,2
9301,0.6666666666666666,0,2
9301,0.6666666666666666,0,2
9302,0.6666666666666666,0,2
9302,0.6666666666666666,0,2
9302,0.6666666666666666,0,2
9302,0.6666666666666666,0,2
9303,0.6666666666666666,0,2
9303,0.6666666666666666,0,2
9303,0.6666666666666666,0,2
9303,0.6666666666666666,0,2
9303,0.6666666666666666,0,2
9304,0.6666666666666666,0,2
9304,0.3333333333333333,0,2
9304,0.3333333333333333,0,2
9305,0.3333333333333333,0,2
9306,0.3333333333333333,0,2
9307,0.3333333333333333,0,2
9308,0.3333333333333333,0,2
9360,0.3333333333333333,0,2
9483,0.3333333333333333,0,2
9484,0.3333333333333333,0,2
9485,0.3333333333333333,0,2
9487,0.3333333333333333,0,2
9520,0.3333333333333333,0,2
9521,0.3333333333333333,0,2
9522,0.6666666666666666,0,2
9522,0.6666666666666666,0,2
9522,0.6666666666666666,0,2
9523,1.0,0,2
9523,1.0,0,2
9523,1.0,0,2
9523,1.0,0,2
9523,1.0,0,2
9524,1.0,0,2
9524,1.0,0,2
9524,1.0,0,2
9524,1.0,0,2
9524,1.0,0,2
9525,1.0,0,2
9525,1.0,0,2
9550,1.0,0,2
9679,1.0,0,2
9680,1.0,0,2
9681,1.0,0,2
9716,0.6666666666666666,0,2
9717,1.0,0,2
9718,1.0,0,2
9718,1.0,0,2
9718,1.0,0,2
9719,1.0,0,2
9719,0.6666666666666666,0,2
9720,0.6666666666666666,0,2
9826,0.6666666666666666,0,2
9826,0.6666666666666666,0,2
9827,0.6666666666666666,0,2
9827,0.6666666666666666,0,2
9828,0.6666666666666666,0,2
9828,0.6666666666666666,0,2
9828,0.6666666666666666,0,2
9829,0.3333333333333333,0,2
10140,0.3333333333333333,0,2
10140,0.6666666666666666,0,2
10140,0.6666666666666666,0,2
10141,0.6666666666666666,0,2
10141,0.3333333333333333,0,2
10141,0.3333333333333333,0,2
10142,0.3333333333333333,0,2
10142,0.3333333333333333,0,2
10143,0.3333333333333333,0,2
10143,0.3333333333333333,0,2
10199,0.3333333333333333,0,2
10322,0.3333333333333333,0,2
10323,0.3333333333333333,0,2
10324,0.3333333333333333,0,2
10359,0.0,0,2
10360,0.3333333333333333,0,2
10361,0.6666666666666666,0,2
10361,0.6666666666666666,0,2
10361,0.6666666666666666,0,2
10362,0.6666666666666666,0,2
10362,0.6666666666666666,0,2
10362,0.3333333333333333,0,2
10363,0.3333333333333333,0,2
10363,0.3333333333333333,0,2
10700,0.3333333333333333,0,2
10700,0.3333333333333333,0,2
10701,0.0,0,2
4595,0.3333333333333333,0,3
4597,0.6666666666666666,0,3
4597,1.0,0,3
4602,0.6666666666666666,0,3
4602,0.3333333333333333,0,3
4605,0.3333333333333333,0,3
4605,0.3333333333333333,0,3
4615,0.0,0,3
6005,0.3333333333333333,0,3
6006,0.0,0,3
6007,0.3333333333333333,0,3
6008,0.0,0,3
6012,0.3333333333333333,0,3
6029,0.3333333333333333,0,3
6030,0.3333333333333333,0,3
6038,0.6666666666666666,0,3
6042,0.3333333333333333,0,3
6617,0.3333333333333333,0,3
6617,0.6666666666666666,0,3
6617,0.6666666666666666,0,3
6618,0.6666666666666666,0,3
6618,0.3333333333333333,0,3
6618,0.3333333333333333,0,3
6619,0.3333333333333333,0,3
6619,0.3333333333333333,0,3
6620,0.3333333333333333,0,3
6620,0.3333333333333333,0,3
6799,0.0,0,3
6800,0.3333333333333333,0,3
6801,0.0,0,3
7054,0.3333333333333333,0,3
7058,0.3333333333333333,0,3
7058,0.3333333333333333,0,3
7084,0.3333333333333333,0,3
7085,0.3333333333333333,0,3
7088,0.3333333333333333,0,3
7089,0.3333333333333333,0,3
7100,0.6666666666666666,0,3
7101,0.3333333333333333,0,3
7128,0.6666666666666666,0,3
7129,0.3333333333333333,0,3
7130,0.6666666666666666,0,3
7131,0.3333333333333333,0,3
7135,0.6666666666666666,0,3
7153,0.6666666666666666,0,3
7154,0.6666666666666666,0,3
7162,0.6666666666666666,0,3
7166,0.6666666666666666,0,3
7195,0.6666666666666666,0,3
7199,0.6666666666666666,0,3
7227,0.6666666666666666,0,3
7228,0.6666666666666666,0,3
7231,0.6666666666666666,0,3
7232,0.6666666666666666,0,3
7243,1.0,0,3
7244,0.6666666666666666,0,3
7300,0.6666666666666666,0,3
7301,0.6666666666666666,0,3
7309,0.6666666666666666,0,3
7313,0.6666666666666666,0,3
7342,0.6666666666666666,0,3
7346,0.6666666666666666,0,3
7374,0.6666666666666666,0,3
7375,0.6666666666666666,0,3
7378,0.6666666666666666,0,3
7379,0.6666666666666666,0,3
7390,1.0,0,3
7391,0.6666666666666666,0,3
7423,0.3333333333333333,0,3
7424,0.6666666666666666,0,3
7425,1.0,0,3
7425,1.0,0,3
7425,1.0,0,3
7426,1.0,0,3
7426,1.0,0,3
7426,1.0,0,3
